पतलून,trousers 
आज़माना,try <somebody> out
बुरा,बर्ताव करना try <something> on
कठोर,परीक्षा लेना try <something> out
पूरी,कोशिश करना try the best <one> can
कोशिश,करना try 
प्रयास,करना try 
टी-स्क्वेयर,T-square
तुरही,tuba
थुलथुल,tubby 
ट्यूब,tube
निव्रात,नली tube
निव्रात,नलिका tube
चोंगा,tube
अगिन-सस्ट्रअ,tube
नली,tube
नाली,tube
नालिका,tube
सुर्ंग,रेल tube
भूमि-गत,मार्ग tube
नल,tube
नली,tube
नली,tube
नाला,tube
ट्यूब,tube 
नाली,tube 
ट्यूब,tube
क्षय,tuberculosis
गुलगोथनापन,tubbiness 
डट,कर खाना tuck in
पेट,भर भोजन tuck-in
डट,कर खाना tuck into <something>
बन्द,रखना tuck <oneself> away
ढँक,लेना tuck <somebody> in
ढँक,लेना tuck <somebody> up
बहुत,ज्यादा खाना tuck <something> away
संचय,करना tuck <something> away
मंगलवार,Tuesday
अगले,हफ्ते मंगलवार Tuesday week
खींचाव,tug
झटका,देना tug
झटके,से खींच लेना tug
खींचना,tug
बच्चे,के अधिकार के लिए खींचातानी tug of love
रस्साकशी,tug of war
अलक,स्पर्श करके स्वागत करना tug <one's> forelock
नष्ट,होना tumble down
नष्ट-भ्रष्टआ,tumbledown
गिर,पड़ना tumble
भाव,गिरना tumble
कलैया,मारना tumble
कलाबाजी,खाना tumble
कपड़े,सूखाने की मशीन tumbler-drier
समझना,tumble to <something>
फूला,हुआ tumid 
उलट,देना tump over 
उलट,जाना tump over 
हंगामा,tumult 
हो-हल्ला,tumult 
अशांत,tumultuous 
प्रकोप,tumultuous disturbance 
उपद्रवी,ढंग से tumultuously 
तालमेल,स्थापित करने में समर्थ tuned in
जागरुक,tuned in
लय,tune
धुन,tune
ठीक,करना tune
सुर,मिलाना tune
लय,tune
सुर,tune
धुनअ,tune
धुन,tune
पकड़ाना,tune in
धुन,tune 
सुर,tune 
ठिक,करना tune
अनूकुल,बैठाना tune
सुर,मिलानाना tune
ठीक,से लगाना tune
ठीक,करना tune <something> up
सुर,मिलाना tune 
बिल,tunnel
सुरंग्,खोदना tunnel
सुरंग,tunnel
पगड़ी,turban
पगड़ीधारी,turbaned 
रत्ती,भर tuppence 
दो,पेनी का tuppenny
अशांत,turbulent 
अमरीकी,रॉबिन Turdus migratorius
से,निकाल देना turf off
से,निकाल देना turf off <something>
निकाल,देना turf <somebody> out
निकाल,देना turf <somebody> out of <something>
फेंक,देना turf <something> out
फेंक,देना turf <something> out of <something>
फूला,हुआ turgid 
एक,प्रकार का पक्षी turkey
फ्लॉप,turkey
नासमझ,turkey
तुर्की,Turkish
स्वादिष्ट,yummy 
तुर्की,भाषा Turkish
तुर्की,Turkish
ध्यान,नहीं देना turn a blind eye
ध्यान,नहीं देना turn a blind eye to
पूर्ण,परिवर्तन turn-about
सुनी-अनसुनी,कर देना turn a deaf ear
का,दुश्मन बनना turn against <somebody>
मुड़ना,turn
लग,जाना turn
रहना,turn
बदलना,turn
घूमना,turn
बदलना,turn
बदलना,turn
घुमना,turn
हटाना,turn
घुमाना,turn
घुमाना,turn
रुपांतरित,होना turn
हो,जाना turn
प्रइवर्तित,होना turn
पलटना,turn
मुड़ना,turn
हो,जाना turn
उल्टी,आना turn
जी,मतलाना turn
कै,आनाना turn
बदलना,turn
घुमना,turn
गिरना,turn
घूम,जाना turn
रुपाम्तरित,होना turn
बारी-बारी,से turn and turn about
याट्रा,के लिए तैयार होना turn around
जहाज,पर से माल उतारने और लादने की क्रिया turn-around
पीछे,लौटना turn back
मुँह,फेर लेना turn back on
वापस,आना turn back 
विश्वासघाती,turncoat 
मुँह,फेरना turn
पलटना,turn
धीमा,करना turn down
अस्वीकार,कर देना turn down
मद्दिम,करना turn down
कामोत्तेजित,turned on 
बनना,turn
रंग,बदलना turn
बदलना,turn
बदलना,turn
अस्त,व्यस्त करना turn
उलट,पुलट करना turn
घूमना,turn
जोतना,turn
पारी,turn
करवट,बदलना turn
लगाना,turn
घुमाना,turn
घुमाना,turn
जाने,देना turn
मोड़ना,turn
परी,turn
बारी,turn
हो,जाना turn
मोड़ना,turn
मोड़,turn
परिवर्तन,turn
बदलना,turn
स्वभाव,turn
प्रकृति,turn
बनना,turn
मोड़,turn
मोड़,turn
घुमाव,turn
मोड़,turn
घुमाना,turn
मोड़ना,turn
घूमाना,turn
बदलना,turn
मोड़,turn
नेकी,turn
बन,जाना turn
दौरा,turn
काम,turn
घुमाव,turn
मोड़,turn
ढंग,turn
पंक्ति,turn
प्रदर्शन,turn
करतब,turn
पीछे,का मोड़ा हुआ भाग turn
चक्कर,turn
घुमाव,turn
भगाना,turn
आकार,turn
झटका,turn
थोड़ी,सैर turn
घुमना,turn
आश्चर्य,turn
झुकाव,turn
रूझान,turn
मनोवृत्ति,turn
बारी,turn
मोड़,turn
मोड़,turn
वर्तनबिन्दु,turn
चक्करी,turn
घुमाना,turn
गाड़ी,घुमाने के लिए सब से छोटा घेरा turning-circle
नया,मोड़ turning-point
क्रांतिकारी,परिवर्तन turning-point
संक्रांति-काल,turning point
नुक्कड़,turning point
अन्दर,की ओर मोड़ना turn in
सोनेना,turn in
स्वर्ग,में भी शान्ति नहीं मिलना turn in <one's> grave
बहुत,ही चिन्तित होना turn in on <oneself>
गढना,turn
खरादना,turn
में,बदलना turn into
शलजम,turnip
सहापराधी,के विरुद्ध गवाही देना turn King's evidence
चक्कर,turn 
नाक-भौं,सिकोड़ना turn nose up at
,होना turn
हो,जाना turn
रखना,turn
हमला,करना turn
लगाना,turn
देना,turn
सामना,करना turn
मोड़,देना turn
फिराना,turn
घुमाना,turn
बनाना,turn
बदलना,turn
जाना,turn
घुमाना,turn
घुमाना,turn
फिराना,turn
हो,जाना turn
फाड़ना,turn
में,डालना turn
पलटना,turn
बंद,करना turn
पलटना,turn
जी,मतली करनाना turn
घूमाना,turn
बदलना,turn
लगाना,turn
बजना,turn
बदलना,turn
बंद,करना turn
मोड़्,लेना turn off
उब,जाना turn off
सहायक,सड़क turn-off
विरक्तिकारक,turn-off
बहाव,रोकना turn off
बंद,कर देना turn off
बंद,करना turn off
पीछे,मुड़ना turn <one's> back
,करना turn <one's> hand to
की,ओर पूरा ध्यान देना turn <one's> mind to
मतली,कर देना turn <one's> stomach
टूट,पड़ना turn on
मुख्य,मुद्दा बनाना turn on
निर्भर,होना turn on
उत्तेजित,होना turn on
खोलना,turn on
बहकाना,turn on
चलाना,turn on
उत्तेजक,turn-on
अचानक,पीछे मुड़ना turn on <one's> heel
चिल्लाना,शुरू करना turn on the waterworks
चिल्लाना,शुरू करना turn on the waterworks
उपस्थित,होना turn out
सफ़ाई,turnout
पहनावा,turnout
बाहर,निकलना turn out
भीड़,turnout
,होना turn out
पहनावा,turnout 
सिद्ध,होना turn out that
निकलना,turn out to be <somebody>
निकलना,turn out to be <something>
पाया,जाना turn out 
नया,जीवन शुरू करना turn over a new leaf
नौकरी,छोड़ना turnover
उलटना,turnover
फलमिश्रित,पेस्ट्री turnover
खरीदी-बिक्री,दर turnover
बिक्री,turnover
चालू,होना turn over
उलट,देना turn over 
उलट,जाना turn over 
सहापराधी,के विरुद्ध गवाही देना turn Queen's evidence
पलटकर,turn round and <do> <something>
घूमना,turn round
याट्रा,के लिए तैयार होना turn round
जहाज,पर से माल उतारने और लादने की क्रिया turn-round
घुअमने,का संकेतक turn signal
का,दुश्मन बनाना turn <somebody> against <somebody>
लौटाना,turn <somebody> away
पीछे,लौटाना turn <somebody> back
तैयार,करना turn <somebody> out
हवाले,कर देना turn <somebody> over to <somebody>
घूमाना,turn <somebody> round
घमण्डी,बना देना turn <somebody's> head
कायापलट,कर देना turn <something> around
तैयार,करना turn <something> around
पीछे,लौटाना turn <something> back
छोड़,देना turn <something> in
लिखकर,देना turn <something> in
दिखाना,turn <something> in
पूरी,तर्ह से बदल देना turn <something> inside out
अस्त-व्यस्त,कर देना turn <something> inside out
पूरी,तरह से छान मारना turn <something> inside out
पलट,देना turn <something> on its head
खाली,करना turn <something> out
बाहर,निकालना turn <something> out
निर्माण,करना turn <something> out
बन्द,करना turn <something> out
चालू,करना turn <something> over
पर,विचार करना turn <something> over
व्यवसाय,करना turn <something> over
लूट,लेना turn <something> over
बेचना,एवं खरीदना turn <something> over
सौंपना,turn <something> over to <somebody>
कायापलट,कर देना turn <something> round
तैयार,करना turn <something> round
घूमाना,turn <something> round
का,पता लगाना turn <something> up
तेज़,करना turn <something> up
छोटा,करना turn <something> up
पूरी,तर्ह से बदल देना turn <something> upside down
अस्त-व्यस्त,कर देना turn <something> upside down
टुटना,turn sour
सहापराधी,के विरुद्ध गवाही देना turn State's evidence
शत्रुता,मित्रता में बदलना turn swords into ploughshare
गोल,घूमने वाला प्लेटफ़ार्म turntable
घूम-चक्कर,turntable 
दुम,दबाना turn tail
पीछे,लेना turn the clock back 
बीमारी,से छुटकारा पाकर अच्छा होना turn the corner
मुसीबत,के दिन पार कर लेना turn the corner
जले,पे नमक छिड़कना turn the knife
जले,पे नमक छिड़कना turn the knife in the wound
मेज़,का ऊपरी भाग table-top 
से,अच्छा लाभ उठाना turn to good account
सहायता,माँगना turn to <somebody>
सहारा,लेना turn to <something>
आना,turn up
मिलना,turn up
उल्टी,मोहरी turn-up
होना,turn up
आश्चर्यजनक,घटना turn-up
खोटे,सिक्के का घूम-फिर कर वापस आना turn up like a bad penny 
घूमाना,turn 
बना,देना turn 
घूमना,turn 
गोल-कालर,की पोशाक turtle-neck
गोल-कालर,turtle-neck
पिछाड़ी,tush 
फलमिश्रित,आइसक्रिम tuti-fruti
फलमिश्रित,आइसक्रिम का भाग tuti-fruti
सिखाना,tutor
निजी,शिक्षक tutor
शिक्षक,tutor
पढाना,tutor
घूग्घू,tu-whit
घूग्घू,tu-whoo
दूरदर्शन,TV
टी,वी TV 
बारह,twelve
बीस,twenty 
इक्कीसवाँ,twenty-first 
बीस,पेन्स का सिक्का twenty pence
बीस,पेन्स का सिक्का twenty pence piece
बीस,पेन्स का सिक्का twenty p
सामान्य,दृष्टि twenty-twenty vision
दुगना,twice 
दूसरी,पीढी twice removed
मक्खी,मारना twiddle <one's> thumbs
वक्त,बर्बाद करना twiddle <one's> thumbs
समझ,में आना get wise 
अजीबोगरीब,twilight
पतन,twilight
धुँधला,प्रकाश twilight
सूर्यास्त,का समय twilight
जुड़वाँ,twin 
एक,सा twin 
जोड़ा,बिस्तरवाला twin beded
लिपटा,होना twine 
जगमगाहट,twinkle
झिलमिलाना,twinkle
चमकना,twinkle
अनुलिपि,twin 
जुड़वाँ,बच्चे twin 
मरोड़ना,twist
विकृत,करना twist
अर्थ,विकृत करना twist
मरोड़ना,twist
गूँथना,twist
मरोड़ना,twist
दूषित,twisted 
विकृत,twisted 
मोड़,twist
चक्कर,twist
मोड़,twist
मरोड़ना,twist
बेलनदार,रोटी twist
मिक्षित,twist
रस्सी,twist
धागा,twist
पिंडा,twist
मरोड़,twist
बलअ,twist 
धागाआ,twist 
घूमाना,twist
मोड़ना,twist
उँगलियों,पर नचाना twist round <one's> little finger
राजी,करना twist <somebody's> arm
उँगलियों,पर नचाना twist <somebody's> round <one's> little finger
जले,पे नमक छिड़कना twist the knife
जले,पे नमक छिड़कना twist the knife in the wound
मोच,आना twist 
मरोड़ना,twist 
गूँथना,twist 
इक्कईस,twnety-one
दो,कौड़ी का two-bit
जैसे,को तैसा two can play at that game
द्वयर्थक,two-edged
दुधारी,two-edged
दोमुँहा,two-faced 
दुगुना,two-fold 
दुगुना,doubled 
दुगुना,double 
दुहत्था,two-handed 
सव्यसाची,two-handed 
एक,से भले दो two heads are better than one 
दो,two
दो,two
दो,पेंस tuppence
दो,पेंस का सिक्का two pence
दो,पेंस का सिक्का two pence piece
तुच्छ,twopenny-halfpenny 
दो,पेनी का twopenny
दो,पेंस का सिक्का two p
साथ,दो का ही अच्छा होता है two's company 
दुतरफ़ा,two-sided 
द्विरंगी,two-tone
द्विपथवर्तीय,two-way
दुतरफा,two-way
दुहरा,two-way
दोतरफा,two-way
पारस्परिक,two-way
किसी,ग़लत काम के जवाब में किया गया ग़लत काम सही नहीं होता two wrongs don't make a right
आर्थिक,समर्थन का वादा करना underwrite 
प्रकार,का पता लगाना type
प्ररूप,में ढालना typecast
क़िस्म,type
प्रकार,type
नमूना,type
उदाहरण,type
नमूना,होना type
वर्ग,type
लक्षण-चिन्ह,type
मुद्राक्षर,type
वर्गीकरण,type
वर्ग,type
रीति,type
ढाँचा,type
प्रकार,type
आदमी,type
व्यक्ति,type
अक्षर,type
क्षेत्र,type
मुद्रालेख,type
मुद्रालिपि,type
आकार,type
ठप्पा,type
निशान,type
नमूना,type
प्रकार,type
टाइपराइटर,type
निशान,type
प्रकार,type 
टंकण,मशीन typewriter
टाइपराइटर,रिबन typewriter ribbon 
टंकणक,रिबन typewriter ribbon 
प्रतीकात्मक,typical 
विशिष्ट,typical
प्रतीकात्मक,typical
प्रतीकरूपात्मक,typical
विशिष्ट,रूप से typically 
दमनकारी,tyrannical 
दमनकारी,tyrannous 
टायर,tyre
हाल,tyre
टायर,tyre
टायर,tyre
टायर,tyre 
सर्वव्यापी,ubiquitous 
न्यूनोक्ति,uderstatement
घिनौना,vile 
घिनौना,ugly 
चिड़चिड़ा,ugly 
अत्यधिक,कुरूप ugly as sin
कुरूप,बनाना uglify 
कमज़ोरों,को दबाने वाला plug-ugly 
बदसूरत,ugly 
यू,U
यू,U
यू,U
अल्स्टर,Ulster 
परम,ultimate
अंतिम,ultimate
अत्यंत,ultimate
पोल,खोलना umask
प्रकट,करना umask
अंपायर,ump 
अक्षुण्ण,unabated 
अनुत्तरदायी,unaccountable 
अनभिज्ञात,unacknowledged 
अस्वीकृत,unacknowledged 
अनलंकृत,undecorated 
मिलावट,रहित unadulterated 
नई,कोशिशों से कतराने वाला unadventurous 
सीधा-सादा,unadventurous
अवातित,unaired 
विशुद्ध,unalloyed 
एकमतता,unanimity 
एकमत,unanimous 
अघोषित,unannounced 
अविवादास्पद,रूप से inarguably 
निर्लज्जतापूर्वक,unashamedly 
अनाक्रमणीय,unattackable 
अपराजेय,unassailable 
अविवाहित,unattached
अकेला,unattended
उपेक्षित,unattended
अरक्षित,unattended
बिना,रखवाले का unattended
अनधिकृत,/unauthorised
अनुपलभ्य,unavailable 
अनभिज्ञता,unawareness 
असंतुलित,unbalanced 
अद्वितीय,unbeatable 
अविश्वसनीयता,से unbelievably
नरम,पड़ना unbend
सीधा,होना unbend
सीधा,करना unbend
अपने-आप,unbidden 
अविरंजित,unbleached 
अमिश्रित,unblended 
भावशून्य,unblinking 
अपार,unbounded
अटूट,unbreakable 
न,भरने वाला unbridgeable 
अनटूटा,unbroken 
अलौकिक,ढंग से uncannily
रहस्यमय,ढंग से uncannily
अलौकिक,uncanny 
अतिप्राकृतिक,uncanny 
राष्ट्रीय,दल के लिए न खेला हुआ uncapped 
अचानक,unceremonious
परिवर्तनशील,uncertain
अनिश्चित,uncertain
डगमगाता,हुआ uncertain
अस्थिर,uncertain
अविश्वसनीय,uncertain
अनिश्चित,uncertain
निर्विरोध,unchallenged
अविवाद्य,unchallenged
निर्विरोध,unchallenged
न,बदलने वाला unchanging
अमानचित्रित,uncharted 
बेरोक,unchecked
अपरीक्षित,unchecked
अनिश्चित,unclear
अस्पष्ट,unclear
चाचा,uncle
मामा,uncle
अंकटाड,UNCTAD
अंकिल,टॉम Uncle Tom
सुव्यवस्थित,uncluttered 
सीधा,करना uncoil
बेचैनी,के साथ uncomfortably
परेशानी,में uncomfortably
परेशानी,में uncomfortably
स्वतन्त्र,uncommitted
अल्पभाषी,uncommunicative
अप्रतियोगितात्मक,uncompetitive 
बेखबर,unconcerned 
अरुचिकर,uncongenial 
असंगत,unconnected 
बेहोश,unconscious
अनजान,unconscious
अन्जान,unconscious
असंवैधानिक,रूप से unconstitutionally 
अविचारित,unconsidered
उपेक्षित,unconsidered
अविवाद्य,uncontentious
अविवाद्य,uncontroversial 
न,मानने वाला unconvinced 
अपुष्ट,unconvincing
अनपका,uncooked 
अनुचित,uncool
बेहोशी,uncounsciousness
असंख्येय,संज्ञा uncountable noun
असंख्येय,संज्ञा uncount noun
जाहिर,करना uncover
बता,देना uncover
खोलना,uncover
ढक्कन,खोलना uncover
मालिश,unction
मरहम,unction 
सीधा,खड़ा होना uncurl
सीधा,खड़ा करना uncurl
अनकटा,uncut
न,तराशा गया uncut
पूरा,uncut
अदिनांकित,undatable 
अदिनांकित,undated
अदिनांकित,undated
के,बावजूद undaunted by
अव्यक्त,undeclared 
अरक्षणीय,undefendable 
अप्रतिवादित,undefended 
अपमानजनक,undefying
आशा,से कम सफलता प्राप्त करना underperform 
कलंकित,होकर under a cloud
निचला,under 
अवयस्क,under age
काँख,में का underarm
अंडरआर्म,underarm
अंडरआर्म,underarm
जघन्य,वर्ग underbelly
पशु,का पेट underbelly
नाजुक,भाग underbelly
कम,बोली बोलना underbid
नीचला,वर्ग underclass
जाँघिया,underclothes
अन्दर,का कोट undercoat
की,आड़ में under cover of
का,बहाना करके under cover of
अन्तर्भाव,undercurrent
कम,दाम में देना undercut
कमज़ोर,बनाना undercut
पानी,के भीतर under
कम,उद्भासित रहना underexpose
पर,कम उद्भासित करना underexpose
आलोचना,के घेरे में under fire
झूठा,बहाना बना कर under flase pretences
के,तहत under
अन्तः,फर्शीय underfloor
पाल,चढाए under full sail
कराना,undergo
झेलना,undergo
कराना,undergo
झेलना,undergo
,करना undergo
गुजरना,undergo 
कपटपूर्ण,underhanded 
भुमि,के तल के नीचे underground
गुप्त,संगठन underground
गुप्त,underground 
सुरंग-रेल,underground
के,नीचे under
के,अन्दर under
से,कम under
नीचे,under
निचला,under
निचली,चद्दर underlay
आधार,होना underlie
वस्तविक,कारण होना underlie
ज़ोर,देना underline 
अधीनस्थ,कर्मचारी underling
बंद,under lock and key
निम्नांकित,undermentioned 
आधारभूत,underlying 
निम्नलिखित,undermentioned 
कम,दाम पर बेचना underprice 
खोखला,कर देना undermine
में,under
में,under
के,नियन्ट्रण में under
के,निगरानी में under
के,अधीन under
के,देखरेख में under
अन्दर,under
में,under
के,नीचे underneath
नीचे,underneath
अंदर,से underneath
निचला,भाग underneath
किसी,भी हालत में नहीं under no circumstances
आँखों,के सामने under nose
शपथबद्ध,under oath
शपथ,खाकर under oath
विक्री,के लिए प्रस्तावित under offer
एक,ही छत के नीचे under one roof
बहुत,ही धीरे से under <one's> breath
स्वतः,प्रयत्न से under <one's> own steam
घर,में under <one's> roof
का,भय दिखाकर under pain of
हाफ-पैन्ट,underpants
औसत,से कम अच्छा under par 
औसत,से कम under par
कम,वेतन देना underpay
का,भय दिखाकर under penality of
मजबूत,करना underpin
सहारा,देना underpin
नया,आधार लगाना underpin
के,अन्दर under 
ठूँसकर,under pressure
दबाव,में under pressure
तनाव,में under pressure
दबाव,के कारण under pressure
अनिच्छ,एवं दुर्भावना से under protest
ज़ोर,देना underscore 
उप-सचिव,under-secretary
उण्डरसेक्रेटरी,under-secretary
तल,underside
नीचे,हस्ताक्षर करना undersign 
अवांछनीय,व्यक्ति undersirable
अवांछनीय,ढंग से undersirably
संरक्षण,में under <somebody's> wing
निर्धारित,से कम कर्मचारियों वाला understaffed 
समझने,योग्य understandable
समझने,के ढंग से understandingly 
बोधगम्यता,comprehensibility 
जानना,understand
समझना,understand
समझना,understand
समझना,understand
स्वीकार,करना understand
मान,लेना understand
मान,लेना understand
समझना,understand
समझना,understand
जानना,understand
समझना,understand
जानना,understand
समझना,understand
समझना,understand
समझौता,understanding
समझ,understanding
सहमति,understanding
समझ,understanding
अनुकूल,understanding
समझ,understanding
ज्ञान,understanding
तालमेल,understanding
समझदार,understanding
उदार,understanding
समझना,understand
समझना,understand 
आदेश,की प्रतीक्षा में under starter's orders
कम,महत्व देना understate
संतुलित,तरीके से व्यक्त करना understate
संतुलित,तरीके से प्रस्तुत करना understate
कम,करके बताना understate
स्थानापन्न,अभिनेता understudy
स्थानापन्न,अभिनेत् understudy
के,स्थान पर काम करना understudy
भूमिका,का अभ्यास करना understudy
स्थानापन्न,व्यक्ति understudy
संदेह,के घेरे में under suspicion 
रिश्वत,under table
वादा,करना undertake
भार,उठाना undertake
भार,उठाना undertake
बीड़ा,उठाना undertake
उत्तरदायित्व,लेना undertake
अपने,उपर लेना undertake
बीड़ा,उठाना undertake
अन्तयेष्टि-व्यापार,undertaking
उपक्रम,undertaking
वचन,undertaking
कार्य,undertaking
के,संरक्षण में under the aegis of
के,तत्त्वाधान में under the auspices of
के,तत्त्वाधान में under the auspices of 
के,तत्त्वाधान में under the auspices of 
के,चिन्ह पर under the banner
के,चिन्ह पर under the banner of
के,झंडे तले under the banner of
की,देखरेख में under the care of
गुप्त,रूप से under the counter
की,आड़ में under the cover of
का,बहाना करके under the cover of
के,नियंट्रण में under the heel of
नशे,में under the influence
नाम,से under the name
के,नाम से under the name of
पशुओं,को चराने की अपेक्षा अन्नोत्पादन हेतु प्रयुक्त under the plough
एक,ही छत के नीचे under the same roof
कहीं,भी under the sun
शर्तों,के तहत under the terms
हल्का,रंग undertone
प्रच्छन्न,भाव undertone
कम,कीमत आँकना undervalue 
अंशजलीय,subaquatic 
प्रभावहीन,बल weak force
देने,के लिए सहमत होना underwrite
पता,लगाने में असमर्थ undetectable
बहुत,महीन undetectable
गुप्त,undetected
अडिग,undiscouraged 
अविकसित,undeveloped
विशुद्ध,undiluted 
स्पष्ट,undisguised 
समान,undisputed
निर्विवाद,undisputed
यू,एन डी एल स्थापना UNDL Foundation
यू,एन डी एल प्रतिष्ठान UNDL Foundation 
खोलना,undo
उधेड़ना,undo
बरबादी,का कारण undoing
बरबादी,undoing
अधूरा,undone 
अकृत,undone 
खोलना,undo
बिगाड़ना,undo
नष्ट,करना undo
बिगाड़ना,undo
खोलना,undo
खोलना,undo 
अकल्पित,undreamed-of
अकल्पित,undreamt-of
कपड़े,उतारना undress
तरंगन,undualtion
लहरदार,दिखना undulate
तरंगित,होना undulate
तरंगित,करना undulate 
असमय,unearthly hour
रहस्यमय,unearthly
अलौकिक,unearthly
असमय,unearthly time
चिन्ता,uneasiness
बेचैनी,uneasiness
व्यग्रता,uneasiness 
चिन्ता,uneasy
चिन्तित,uneasy
सशंकित,uneasy
बेचैनी,uneasy
चिन्ताजनक,uneasy
आशंकाजनक,uneasy
बेचैन,uneasy
असुरक्षित,uneasy
बिना,खाया हुआ uneaten 
अलाभकर,unecomomic
निम्न,स्तर का uneducated
अशिक्षित,uneducated
रोजगार,के अयोग्य unemployable
बेरोजगार,unemployed
बेकार,unemployed
बेरोज़गारी,दर unemployment rate 
चिरकालिक,unending 
असमान,unequal
असमर्थ,unequal
अनुचित,unequal
लाजवाब,unequalled 
असमान,रूप से unequally
अनुचित,ढंग से unequally
अनदेखा,करके अपमानित करना snub 
तिजोरी,safe-deposit box 
अनियमितता,uneveness
असंगति,uneveness
असमतलता,uneveness
विषमता,uneveness
अनियमित,uneven
असंगत,uneven
असमतल,uneven
विषम,uneven
अनियमित,ढंग से unevenly
विषमतापूर्वक,unevenly
असमान,रूप से unevenly
शांत,unevnetful
अविचारित,unexpected 
अस्पष्ट,unexplained 
अनुचित,unfair
बेढंगा,unfair
गलत,unfair
अनभिज्ञ,unfamiliar
अपरिचित,unfamiliar 
अज्ञेय,unfathomable
नकारात्मक,ढंग से unfavorably 
निष्ठुर,hardhearted 
अयोग्य,unfit
अस्वस्थ,unfit
अनुपयुक्त,unfit
अयोग्य,unfitted
ध्यानपूर्वक,unflaggingly
असीमित,ढंग से unflaggingly
शांति,unflappability
शांत,unflappable
दृढ,unflinching
अदम्य,unflinching
दृढतापूर्वक,unflinchingly
उपेक्षित,unfocused
अस्पष्ट,unfocused
अस्थिर,unfocused
उपेक्षित,unfocussed
अस्थिर,unfocussed
खोलना,unfold
बतलाना,unfold
प्रकट,करना unfold
फैलाना,unfold
अक्षमाशील,unforgiving 
अरचित,unformed
दुर्भाग्यपूर्ण,unfortunate
अभागा,unfortunate
खेदजनक,unfortunate
दुर्भाग्यपूर्ण,unfortunate
दुःखद,unfortunate
पिघलाना,unfreeze
अननुकूल,unfriendly 
खोलना,unfurl 
अनुचित,ungodly
अधर्मी,ungodly
पूरी,तरह न समझा गया ungrasped 
अकृतज्ञ,ungrateful 
मरहम,unguent 
बेसुरे,ढंग से unharmoniously 
उदासी,के साथ unhappily 
खेद,unhappiness 
